episode,channel,stage,x_m,y_m,outcome,svd_deg,nearest_center_m
1,1,survey,0.00,0.00,direction,113.55,975.66
1,1,survey,-958.28,269.43,direction,52.17,0.00
1,1,survey-clear,616.46,756.23,direction,168.12,0.00
1,2,survey,0.00,0.00,direction,199.29,975.66
1,2,survey,-958.28,269.43,direction,291.03,0.00
1,3,survey,0.00,0.00,direction,23.40,975.66
1,3,survey,-958.28,269.43,no_signal,,0.00
1,3,survey-clear,-812.54,-551.17,no_signal,,0.00
1,3,survey-clear,-118.00,-969.35,no_signal,,0.00
1,3,survey-clear,657.74,-730.14,direction,66.47,0.00
1,3,survey-clear,988.50,27.55,direction,67.11,0.00
1,3,refine,1196.61,518.53,direction,243.45,533.26
1,4,survey,0.00,0.00,no_signal,,975.66
1,4,survey,-958.28,269.43,no_signal,,0.00
1,4,survey-clear,-812.54,-551.17,no_signal,,0.00
1,4,survey-clear,-118.00,-969.35,no_signal,,0.00
1,4,survey-clear,657.74,-730.14,no_signal,,0.00
1,4,survey-clear,988.50,27.55,direction,65.50,0.00
1,4,survey-clear,616.46,756.23,direction,12.24,0.00
1,5,survey,0.00,0.00,no_signal,,975.66
1,5,survey,-958.28,269.43,no_signal,,0.00
1,5,survey-clear,-812.54,-551.17,no_signal,,0.00
1,5,survey-clear,-118.00,-969.35,direction,312.57,0.00
1,5,survey-clear,657.74,-730.14,direction,244.89,0.00
1,6,survey,0.00,0.00,no_signal,,975.66
1,6,survey,-958.28,269.43,no_signal,,0.00
1,6,survey-clear,-812.54,-551.17,no_signal,,0.00
1,6,survey-clear,-118.00,-969.35,direction,342.09,0.00
1,6,survey-clear,657.74,-730.14,direction,268.95,0.00
1,7,survey,0.00,0.00,no_signal,,975.66
1,7,survey,-958.28,269.43,no_signal,,0.00
1,7,survey-clear,-812.54,-551.17,direction,292.48,0.00
1,7,survey-clear,-118.00,-969.35,direction,236.72,0.00
1,7,survey-clear,657.74,-730.14,no_signal,,0.00
1,8,survey,0.00,0.00,no_signal,,975.66
